order_month_date,total_orders,total_customers,total_sales,avg_order_value,total_items_sold,delayed_orders,delay_rate
2016-09-01 00:00:00.000000,1,1,0.0,0.0,3.0,1,1.0
2016-10-01 00:00:00.000000,265,262,46566.71,175.72,313.0,2,0.0075
2016-12-01 00:00:00.000000,1,1,19.62,19.62,1.0,0,0.0
2017-01-01 00:00:00.000000,750,718,127545.67,170.06,913.0,22,0.0293
2017-02-01 00:00:00.000000,1653,1630,271298.65,164.13,1858.0,49,0.0296
2017-03-01 00:00:00.000000,2546,2508,414369.39,162.75,2897.0,116,0.0456
2017-04-01 00:00:00.000000,2303,2274,390952.18,169.76,2569.0,151,0.0656
2017-05-01 00:00:00.000000,3546,3479,567066.73,159.92,4004.0,106,0.0299
2017-06-01 00:00:00.000000,3135,3076,490225.6,156.37,3489.0,95,0.0303
2017-07-01 00:00:00.000000,3872,3802,566403.93,146.28,4416.0,108,0.0279
2017-08-01 00:00:00.000000,4193,4114,646000.61,154.07,4797.0,122,0.0291
2017-09-01 00:00:00.000000,4150,4083,701169.99,168.96,4737.0,182,0.0439
2017-10-01 00:00:00.000000,4478,4417,751140.27,167.74,5214.0,187,0.0418
2017-11-01 00:00:00.000000,7289,7183,1153528.05,158.26,8475.0,904,0.124
2017-12-01 00:00:00.000000,5513,5450,843199.17,152.95,6187.0,411,0.0746
2018-01-01 00:00:00.000000,7069,6974,1078606.86,152.58,8037.0,403,0.057
2018-02-01 00:00:00.000000,6555,6400,966510.88,147.45,7518.0,926,0.1413
2018-03-01 00:00:00.000000,7003,6914,1120678.0,160.03,8017.0,1328,0.1896
2018-04-01 00:00:00.000000,6798,6744,1132933.95,166.66,7827.0,306,0.045
2018-05-01 00:00:00.000000,6749,6693,1128836.69,167.26,7810.0,443,0.0656
2018-06-01 00:00:00.000000,6099,6061,1012090.68,165.94,7010.0,71,0.0116
2018-07-01 00:00:00.000000,6159,6100,1027903.86,166.89,6963.0,208,0.0338
2018-08-01 00:00:00.000000,6351,6310,985414.28,155.16,7142.0,393,0.0619
